click,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,cat_0,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_11,cat_12,cat_13,cat_14,cat_15,cat_16,cat_17,cat_18,cat_19,cat_20,cat_21,cat_22,cat_23,cat_24,cat_25
0,-0.5654755136137938,-0.2998709805346555,-0.7999059832684768,0.05347040354146517,-2.6729562327500243,0.5416311623662837,1.0591125559674093,0.4028263056448968,0.7314861505434188,-1.2684562214999038,-1.137239438102947,-0.024962227203708557,-0.12308869657105798,85,47,51,7,6,91,96,28,1,24,0,99,15,81,93,55,36,35,91,37,70,91,5,81,17,55
0,0.20938043585465374,-0.5885412429076305,-0.6114178443828056,0.6653736044938956,-0.04781246557002136,0.8345671834332263,-0.21177640737505826,-0.7617762420677198,-0.8475794804239812,-1.258112747188043,0.6439966283201557,-0.7369331728637916,1.1800798132346926,43,21,6,15,63,90,27,29,31,49,31,10,23,51,4,84,49,40,2,23,10,82,40,21,83,71
0,-0.5369748260433146,-0.402370207642397,0.6820867726776502,-1.4026976731521619,1.434328237608959,-1.138765364975563,-2.8610794112490083,0.5325299825945895,-0.7628461231078382,1.0149367948887673,1.629059267979557,-0.4877707197386541,0.9636071572637076,11,65,31,81,80,57,31,49,85,13,71,59,90,79,86,64,17,53,95,25,13,70,64,64,77,49
0,0.863715296614284,2.623656674710973,-1.1050547105328337,-0.7218669516201507,2.050488691726216,0.16942865919787703,1.6568260245015085,-0.011591272613871825,-1.3056703697114562,-0.39330061374275355,-0.7140923706530118,0.5375730223979982,0.30167866931015397,38,4,56,13,16,10,40,38,88,69,22,80,31,84,26,67,55,24,3,75,61,69,58,33,80,28
0,0.7842866021557494,-0.21479687720903243,-1.479789792059317,-0.7646897461724679,1.6419341981858473,-0.7681579599256642,-0.29626585481050144,-0.5874613606550781,-0.7062651264947711,0.3939730131270048,-0.24776420109016634,-0.1002548943249139,0.43426200687263955,97,17,56,32,7,18,42,45,84,31,24,6,65,41,57,21,8,84,89,27,11,21,53,59,50,80
0,-0.8615169465624299,0.35092913764776285,-1.061813893156597,-0.27327057666563237,-1.0824795473568818,-0.09585239067054804,0.6351717002618359,0.6540871351568823,1.1633162250167148,-0.06235227852466103,0.9577020296023389,-1.9037780132069184,-0.608301827450814,64,93,34,69,11,35,6,31,17,45,64,69,49,62,37,4,33,13,47,20,33,97,31,30,88,2
0,0.5069756213629945,-0.5034174637784216,-1.2855062906549835,0.0784241856609045,1.6234148671419826,-1.6060832499115039,-2.1217747819150414,1.0628581337147869,-0.9586506864135002,0.7879690417170307,0.2512264397169378,0.7739589446276045,-0.45475877445745805,42,27,83,90,42,72,45,47,1,73,16,57,1,73,4,55,1,84,9,90,27,95,62,34,39,87
0,-2.646035419067029,1.1419872950619825,-0.8877639113847707,1.4131230947864997,-2.7756065509540875,0.576707472583581,-0.5182838749874903,-0.0016741655726526094,0.6653927258481763,-0.355889240519557,-0.18719506829875932,0.0861361189889051,0.5164593212976882,18,0,63,98,99,70,21,66,1,58,50,11,65,41,52,43,53,72,47,8,44,97,90,68,81,29
0,-0.036923187646964804,1.0782666598713586,-0.37103914682551975,-1.5737761346810826,-0.04595046647758581,-1.0036602963951062,-0.2061173899917537,-0.18204325034839244,-0.689788071887746,0.25113727823523024,-0.17702688916120465,-1.6240952287181332,0.18532383584165174,81,38,73,36,71,35,37,7,98,33,78,7,26,35,0,27,69,29,24,23,3,12,84,16,69,89
0,0.6016561817383431,-1.2298861186818941,0.29254538920674766,0.06393722160921013,-1.8506364079333646,0.7353607622637011,-1.635075904936844,0.37516795918451395,0.15176727779327165,2.4011008089016577,-0.7969807833408372,0.6801049977956198,0.19659140938870173,63,46,23,12,89,17,96,6,92,63,55,92,68,42,78,13,93,67,95,17,48,83,62,33,4,61
0,-0.4307388443964668,0.9938962216692705,0.8801278527312366,2.8877617368335797,-0.19140255982525353,-0.6453251873077586,-2.081404681516544,-0.8776101553686099,-0.6043650627497652,-1.1804543140112365,0.016953400133026632,2.1124325646682705,-0.6102322123565674,78,79,75,5,90,43,83,39,2,31,25,37,51,35,48,52,50,57,0,83,78,45,13,10,42,74
0,-0.7354204933054851,-1.0253835593620007,-0.4407733075969902,-1.1304981459216397,1.793121599262379,-0.796704752931058,-0.29347420199744123,0.07776861539858711,-0.3700450918674089,1.6716771746382248,2.2480745281608705,2.4190106135268628,-0.42752278468577065,12,31,6,38,85,67,48,91,44,68,4,25,5,18,10,91,33,58,82,55,10,21,16,36,75,84
