channel,device,sessions,conversions,revenue,avg_duration,bounce_rate,pages_per_session,cvr,avg_order_value
Direct,desktop,340847,1504,163262.37999999995,304.74598803886494,0.05036864047505186,9.946811912676361,0.00441253700340622,108.5521143617021
Direct,mobile,276275,937,96928.66,287.10926640441227,0.048672518324133565,6.576631979006425,0.0033915482761741017,103.4457417289221
Paid Search,mobile,228762,4947,408803.93999999936,220.2648652801427,0.04061863421372431,4.453737945987533,0.02162509507697957,82.636737416616
Unassigned,mobile,182257,8054,706244.6206610014,286.85267412830234,0.07136077077972314,4.791892766807311,0.04419034659848456,87.68867899937936
Display,mobile,161940,12,102.87999999999998,282.2380209657836,0.06967395331604298,2.0486908731629,7.410151908114116e-05,8.573333333333332
Organic Search,mobile,143506,524,70822.14000000001,218.08282184503784,0.046959709001714214,3.6773375329254527,0.003651415271835324,135.15675572519086
Organic Search,desktop,136530,1016,155784.30531300002,412.4699287754559,0.09042701237823189,8.86682780341317,0.007441587929392807,153.3310091663386
Paid Social,mobile,119410,2025,124239.11999999986,133.0189872408257,0.04983669709404572,3.0525416631772884,0.016958378695251655,61.35265185185178
Unassigned,desktop,117462,4360,503315.2324259998,400.0621113283019,0.1189661337283547,7.121954334167646,0.03711838722310194,115.43927349220179
Paid Search,desktop,116296,3068,396235.6499999995,370.1802811981581,0.06362213661690858,9.071627571025658,0.026380958932379444,129.15112451108197
Cross-network,mobile,56390,314,24317.3,201.78310792023407,0.06274162085476148,2.814417449902465,0.005568363184961873,77.4436305732484
Referral,desktop,27005,358,28246.13,1317.82703408217,0.06039622292168117,19.450879466765414,0.013256804295500833,78.89980446927375
Cross-network,desktop,10062,97,9021.720000000001,691.6284360385608,0.07175511826674617,3.7836414231763067,0.009640230570463128,93.00742268041239
Unassigned,tablet,9892,438,40839.21,430.883418708249,0.05519611807521229,5.152143145976547,0.04427820460978569,93.24020547945206
Paid Search,tablet,9012,191,21825.890000000003,318.29295214569464,0.03972481136262761,4.9871282734132265,0.021193963604083443,114.27167539267018
Direct,tablet,8255,41,4291.959999999999,315.8446053038159,0.04627498485766202,8.840096910963053,0.004966686856450636,104.68195121951217
Paid Social,tablet,7976,145,10410.05,148.54321510042627,0.045260782347041124,3.2246740220661985,0.01817953861584754,71.79344827586206
Referral,mobile,6254,203,10457.229999999996,255.79401432779022,0.05100735529261273,5.37080268628078,0.032459226095299006,51.513448275862046
Organic Search,tablet,5352,24,3975.76,285.11262749532887,0.04091928251121076,5.597346786248131,0.004484304932735426,165.65666666666667
Paid Video,mobile,4523,11,864.9000000000001,185.3292362184391,0.17797921733362812,2.3464514702630996,0.0024320141499005084,78.62727272727274
Mobile Push Notifications,mobile,3491,8,364.97,189.81323768261242,0.0495560011458035,2.224863935835004,0.0022916069894013177,45.62125
Paid Social,desktop,3300,94,6492.2599999999975,246.44283042,0.039696969696969696,4.796969696969697,0.028484848484848484,69.06659574468082
Email,desktop,2326,45,5596.82,318.01727272012033,0.14961306964746346,9.1530524505589,0.01934651762682717,124.37377777777778
Email,mobile,2237,60,6687.71,301.219795950827,0.04917299955297273,7.960661600357621,0.02682163611980331,111.46183333333333
Cross-network,tablet,2156,15,1282.5900000000001,754.9538128678107,0.05473098330241188,3.2240259740259742,0.006957328385899814,85.50600000000001
Organic Social,mobile,2136,18,1498.95,133.79771212640446,0.01451310861423221,3.2055243445692883,0.008426966292134831,83.275
Organic Social,desktop,1562,24,1237.96,254.02730592957747,0.08770806658130602,6.391165172855314,0.015364916773367477,51.58166666666667
Display,desktop,1171,0,0.0,342.24195380529466,0.06746370623398805,4.076857386848848,0.0,0.0
Paid Video,desktop,1083,9,932.9200000000001,716.9179189492152,0.11634349030470914,3.132040627885503,0.008310249307479225,103.65777777777778
Paid Shopping,mobile,629,19,1684.71,420.5602614594594,0.033386327503974564,4.4340222575516695,0.030206677265500796,88.66894736842106
Paid Other,desktop,390,1,5.0,103.09272631282052,0.1564102564102564,2.805128205128205,0.002564102564102564,5.0
Paid Other,mobile,336,1,69.99,262.72552360416665,0.23809523809523808,2.425595238095238,0.002976190476190476,69.99
