user_id,timestamp,day,channel,touchpoint_type,bid_amount,cost,state_before,state_after,conversion_probability,ltv,total_cost,journey_length
15e1576abc70,2025-08-22 13:30:02.269577,0,search,impression,1.0413956286776636,0.0010413956286776636,unaware,aware,0.05,6.0,0.0010413956286776636,1
fa890200036e,2025-08-21 21:44:02.269577,0,display,impression,0.36835269314008645,0.00036835269314008646,unaware,unaware,0.01,1.2,0.00036835269314008646,1
0af19a1d9258,2025-08-21 15:25:02.269577,0,display,impression,0.409651650175379,0.00040965165017537906,unaware,unaware,0.01,1.2,0.00040965165017537906,1
143992f0e4bb,2025-08-21 20:41:02.269577,0,social,impression,0.8760819280104396,0.0008760819280104397,unaware,unaware,0.01,1.2,0.0008760819280104397,1
684190abff94,2025-08-22 05:00:02.269577,0,display,impression,0.40351591940545684,0.00040351591940545684,unaware,unaware,0.01,1.2,0.00040351591940545684,1
c0474b77b5a0,2025-08-21 21:41:02.269577,0,display,impression,0.4751356832464172,0.0004751356832464172,unaware,aware,0.05,6.0,0.0004751356832464172,1
ca131c4561dc,2025-08-22 06:12:02.269577,0,display,impression,0.49560623771105616,0.0004956062377110561,unaware,unaware,0.01,1.2,0.0004956062377110561,1
d019d721dde0,2025-08-21 22:12:02.269577,0,display,impression,0.3761011192504528,0.0003761011192504528,unaware,aware,0.05,6.0,0.0003761011192504528,1
d0f9043bde60,2025-08-22 11:56:02.269577,0,social,impression,1.021906620419164,0.0010219066204191641,unaware,unaware,0.01,1.2,0.0010219066204191641,1
249a14fbf8f0,2025-08-21 16:28:02.269577,0,display,impression,0.5188872154590428,0.0005188872154590429,unaware,aware,0.05,6.0,0.0005188872154590429,1
0cb466ed848f,2025-08-22 00:20:02.269577,0,search,impression,1.4573406884740547,0.0014573406884740548,unaware,unaware,0.01,1.2,0.0014573406884740548,1
75678f903481,2025-08-21 15:18:02.269577,0,display,impression,0.42587864366243217,0.0004258786436624322,unaware,aware,0.05,6.0,0.0004258786436624322,1
656378adb052,2025-08-22 05:28:02.269577,0,display,impression,0.4219133247197343,0.00042191332471973433,unaware,aware,0.05,6.0,0.00042191332471973433,1
24a019b0b0fb,2025-08-22 07:14:02.269577,0,social,impression,0.8519630968829233,0.0008519630968829233,unaware,unaware,0.01,1.2,0.0008519630968829233,1
a86c5e12a6b9,2025-08-22 10:22:02.269577,0,social,impression,0.35292130017248124,0.00035292130017248124,unaware,unaware,0.01,1.2,0.00035292130017248124,1
4f9dba784e8c,2025-08-21 16:33:02.269577,0,social,impression,0.904733232985622,0.000904733232985622,unaware,unaware,0.01,1.2,0.000904733232985622,1
15bce0909fef,2025-08-22 07:37:02.269577,0,search,impression,1.590444691125192,0.001590444691125192,unaware,unaware,0.01,1.2,0.001590444691125192,1
a70425350fc8,2025-08-22 09:36:02.269577,0,social,impression,0.7061796706544284,0.0007061796706544285,unaware,unaware,0.01,1.2,0.0007061796706544285,1
fcca7cad85df,2025-08-22 00:18:02.269577,0,search,impression,1.4647365219572794,0.0014647365219572794,unaware,interested,0.15,18.0,0.0014647365219572794,1
5c2a21c33537,2025-08-22 09:55:02.269577,0,display,impression,0.4421797129332486,0.0004421797129332486,unaware,unaware,0.01,1.2,0.0004421797129332486,1
803014c156fa,2025-08-22 05:15:02.269577,0,display,impression,0.26757408470413635,0.00026757408470413636,unaware,aware,0.05,6.0,0.00026757408470413636,1
