num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,cat_0,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_11,cat_12,cat_13,cat_14,cat_15,cat_16,cat_17,cat_18,cat_19,cat_20,cat_21,cat_22,cat_23,cat_24,cat_25
0.9104920035341411,-1.1797340813192512,-0.31397354475499106,0.117874528387962,-1.4093622999847508,0.8773994619912426,1.8910271592670818,0.9457393983266587,-0.32274128024164633,0.40370410360491116,-0.31240673312653866,0.9171805541464754,-0.6942151363161857,42,27,66,16,18,8,73,92,7,33,24,91,86,23,44,4,62,32,59,78,22,6,28,81,92,73
-0.7179573546498756,0.4619719203461313,-1.0086153971977376,0.31683280498471267,0.5476512661409665,-1.856272465301249,0.3579976946822205,0.663882325640655,0.510649264640275,0.9294371135260288,-0.5194974471494963,-0.4567880949089003,0.32088329916038427,93,90,94,63,69,80,87,39,6,35,69,87,89,51,40,88,88,82,49,48,20,75,20,93,86,56
1.5540432971669245,0.6674105538793652,-0.3877931350291432,0.6662213345638499,0.8082264970497157,-1.3493505550999085,-0.19373687865808248,1.045697827044265,-0.5037088837956988,-1.2500018892687925,-0.899942559450468,1.78607335828958,-0.26298868766180644,60,92,22,0,73,56,55,90,93,98,39,65,17,31,19,6,93,71,43,45,88,45,45,17,61,33
-0.4014787410098526,-1.1634774923918452,-0.60601359039097,0.8266449854881333,-0.32633643457043543,-1.415266037977038,-0.7658798186071284,-0.9997559735574497,-0.17305368070401944,-1.408778052254585,1.7466704092092298,-1.022670692373035,0.1723516780705414,54,62,31,66,69,27,97,6,73,57,63,80,28,17,66,15,95,80,38,35,72,62,51,42,4,1
0.6100817739637818,0.4796144470810094,0.8854059122190464,1.4171539420543597,-0.22555737743010146,1.8553608374468706,0.3787045359212457,0.19146285772551,-0.7301552557649263,1.7845814375817708,0.9694476463282463,1.5615688128632645,-1.887715679565293,65,14,69,72,71,63,23,6,62,61,16,0,19,15,81,31,37,0,93,79,33,3,10,5,69,19
-0.4096067652810059,0.44220098772608585,0.6865395082301301,-1.8308710682958924,2.381339556866492,-1.025895719556684,1.0615343886501176,0.03130028325301744,-1.273928594648592,-0.1024571319658619,0.9294787630826139,0.3276003308865712,-0.6622448472619911,10,99,87,25,42,85,24,21,62,75,56,69,64,27,0,16,61,85,3,24,43,47,56,62,72,60
1.211129824963306,-1.8550440264114412,-0.8873389304432024,1.7210140724823741,0.05395217206793004,1.390648997160725,-0.3780840340047933,0.47011612734111796,1.3628008702421261,0.9755715413930236,1.3546452607283197,1.1867998115260119,-1.6949208401504232,4,90,27,17,72,26,78,25,59,72,73,31,24,80,82,23,79,48,14,96,27,53,14,96,42,95
1.0103749872448289,-0.5286568741283786,-0.31689263251566563,-0.7177010317030262,-0.7129656089859986,-0.3543775544646843,-0.6646986959517572,-0.1521632145742848,1.185770207908027,1.2517261807400966,-1.3175126280863163,-0.5751768006835488,-0.477062837074042,70,67,60,92,99,32,47,74,14,1,86,85,61,67,81,68,49,61,73,80,69,60,83,56,4,18
0.15238398540614995,-0.5111032851648989,1.0565714517863773,-0.03149335267989117,1.7468083306509112,0.8191938515246445,-1.399179432689732,0.6358886965265494,-1.715199826897655,0.631624720834387,-0.5489380604648547,0.27681398865217416,1.6549495277849158,67,80,4,63,17,36,82,70,71,86,77,16,96,54,80,30,46,33,40,98,3,14,81,86,45,99
-0.020951656002981912,-1.0950931743110521,-0.5268774109962189,-0.46948225143917843,0.6542966917779407,-0.3573529219195199,-0.1814971651236687,0.06335051157812434,1.0472724793519048,0.634522914014272,-1.533953776869823,-0.4265284142128928,1.416609478547725,52,37,16,50,88,26,80,3,57,58,52,16,71,66,98,0,81,6,21,95,18,77,16,59,76,88
